order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD349939,REST1034,CUST00082,COUR2332,-37.8223506,145.0141094,2020-11-04,01:38:54,0,0,Motorbike,"[('mango lassi', 1), ('manchurian', 1), ('paneer lababdar', 3), ('chilli chicken', 3)]",10,78.111,7949.0,16,,4.1054
ORD332896,REST1034,CUST10962,COUR3767,-37.808465999999996,144.9480456,2020-06-26,07:07:15,0,0,Bike,"[('manchurian', 2), ('paneer lababdar', 1), ('chilli chicken', 3), ('dehati chicken', 1)]",0,74.65,,8,,
ORD028966,REST0348,CUST02469,COUR2192,-37.800832299999996,144.94185369999997,2020-05-07,16:09:13,0,0,Car,"[('mutton curry', 2), ('makke ki roti', 3)]",0,86.79,2581.0,6,,3.2106
ORD283956,REST1455,CUST10477,COUR3187,-37.822653,144.998453,2020-07-18,23:12:31,0,1,Car,"[('beef fry', 1), ('egg roast', 2), ('chicken curry', 1), ('appam', 1)]",10,86.247,4178.0,10,,4.7719
ORD139405,REST1455,CUST03699,COUR4755,-37.807694700000006,144.9897434,2020-04-11,12:19:46,1,1,Car,"[('egg roast', 2), ('appam', 1)]",45,31.554,2196.0,5,,6.1137
ORD175999,REST1034,CUST10633,COUR1159,-37.8048007,144.99854530000002,2020-02-05,05:08:34,0,0,Motorbike,"[('butter chicken', 2), ('chilli chicken', 1)]",45,34.353,6277.0,13,,4.123
ORD007793,REST0348,CUST10711,COUR2438,-37.813413700000005,144.9894306,2020-08-23,02:38:14,0,1,Bike,"[('chicken tikka', 3), ('makke ki roti', 1), ('paan ice cream', 2), ('paneer tikka', 1)]",45,58.828,,24,,
ORD172783,REST1034,CUST07305,COUR3703,-37.819689600000004,144.9521487,2020-06-02,18:43:30,1,0,Motorbike,"[('paneer lababdar', 3), ('mango lassi', 3), ('chilli chicken', 1), ('manchurian', 2)]",45,48.912,2131.0,4,,4.7312
ORD159574,REST1034,CUST06807,COUR0637,-37.8035554,144.9545895,2020-08-14,01:50:46,0,0,Motorbike,"[('dehati chicken', 3), ('chilli chicken', 2)]",0,42.97,2403.0,5,,3.0371
ORD165907,REST0348,CUST00480,COUR1601,-37.8201555,144.948499,2020-05-01,16:48:47,0,0,Motorbike,"[('chole bhature', 1), ('kheer', 2), ('chicken tikka', 1), ('lassi', 3)]",10,71.037,754.0,2,,2.9758
ORD299008,REST1034,CUST00160,COUR1303,-37.8146136,145.0091926,2020-04-18,19:23:04,1,1,Car,"[('mango lassi', 3), ('butter chicken', 1), ('manchurian', 2), ('palak paneer', 1)]",10,86.724,7194.0,17,,7.0359
ORD257243,REST0348,CUST12652,COUR3841,-37.8036664,144.94986219999998,2020-11-24,22:48:47,0,0,Car,"[('chole bhature', 2), ('butter chicken', 3), ('mutton curry', 3), ('kheer', 2)]",40,72.018,,6,,
ORD314828,REST1046,CUST13621,COUR4343,-37.8238593,144.9818731,2020-07-07,18:15:49,1,0,Car,"[('french fries', 2), ('fried rice', 2), ('fish fingers', 3), ('chicken curry', 3)]",20,104.56,4330.0,10,,5.2609
ORD109719,REST1034,CUST00438,COUR1073,-37.8153767,144.95105990000002,2020-12-21,20:50:06,0,0,Motorbike,"[('paneer lababdar', 2), ('palak paneer', 2)]",0,67.82,2452.0,5,,2.937
ORD079899,REST1455,CUST13493,COUR0732,-37.816492499999995,144.9669257,2020-01-15,06:43:30,0,0,Car,"[('beef fry', 3), ('egg roast', 3), ('sea food', 1), ('fish', 2)]",0,150.51,2394.0,6,,3.4264
ORD094305,REST0931,CUST02219,COUR2244,-37.8061059,144.9659244,2020-02-21,00:00:00,0,0,Motorbike,"[('masala dosa', 2), ('upma', 2), ('tea', 3), ('butter masala dosa', 1)]",20,117.464,1841.0,4,,3.4167
ORD266727,REST1455,CUST00201,COUR3806,-37.792615600000005,144.9712579,2020-09-10,23:52:05,0,0,Motorbike,"[('sea food', 1), ('chicken stew', 1), ('chicken curry', 3), ('beef fry', 3)]",0,150.55,1101.0,2,,3.2123
ORD272873,REST1046,CUST01123,COUR0388,-37.803388,145.0075238,2020-04-07,09:21:45,0,0,Motorbike,"[('murgh ghee roast', 1), ('french fries', 3)]",20,50.024,7830.0,16,,4.5768
ORD205991,REST0931,CUST02082,COUR3026,-37.800937100000006,145.0154534,2020-12-25,17:52:05,0,0,Car,"[('vada', 3), ('filter coffee', 2), ('chole', 2)]",0,154.73,,9,,
ORD141455,REST1046,CUST13844,COUR1439,-37.8171566,144.9646434,2020-05-09,06:15:49,0,1,Bike,"[('draught beer', 3), ('fried rice', 1), ('chicken curry', 1), ('beef chilli', 2)]",0,50.38,2968.0,15,,5.3863
ORD165764,REST1455,CUST09024,COUR1015,-37.8188355,144.9546761,2020-06-16,21:01:58,0,0,Motorbike,"[('chicken stew', 3), ('fish', 1), ('chicken curry', 1), ('appam', 3)]",0,134.87,3385.0,7,,3.363
ORD169031,REST0931,CUST11644,COUR4670,-37.817566299999996,144.95251519999997,2020-01-15,16:48:47,0,0,Motorbike,"[('butter masala dosa', 1), ('masala dosa', 2)]",40,33.51,5316.0,11,,3.5574
ORD101650,REST0931,CUST05661,COUR4620,-37.8130415,144.93731110000002,2020-03-21,11:48:07,0,1,Car,"[('filter coffee', 2), ('idli', 3), ('butter masala dosa', 3), ('vada', 1)]",0,140.83,,12,,
ORD155561,REST1034,CUST04161,COUR2322,-37.8208667,144.98236169999998,2020-03-08,02:22:25,0,1,Car,"[('chilli chicken', 2), ('dehati chicken', 3)]",45,23.634,,12,,
ORD040006,REST1455,CUST04893,COUR2855,-37.8369082,144.894564,2020-04-08,15:45:29,0,0,Car,"[('appam', 3), ('chicken stew', 2), ('chicken curry', 2), ('sea food', 1)]",0,139.74,11379.0,27,,5.2231
ORD287599,REST1046,CUST03647,COUR1699,-37.8044992,144.9684871,2020-01-09,12:31:38,1,0,Car,"[('beef chilli', 2), ('chicken curry', 1), ('draught beer', 2)]",0,36.16,4700.0,11,,5.3476
ORD027819,REST1046,CUST09765,COUR1739,-37.823731,144.98269130000003,2020-04-23,01:30:59,0,0,Car,"[('murgh ghee roast', 1), ('fried rice', 1), ('beef chilli', 2), ('french fries', 1)]",0,51.33,4390.0,11,,4.0712
ORD211700,REST1046,CUST02294,COUR0503,-37.8176644,144.9705281,2020-09-08,14:58:01,0,0,Car,"[('french fries', 2), ('fish fingers', 3)]",40,55.596,3287.0,8,,3.5312
ORD101988,REST0931,CUST01687,COUR1259,-37.8204539,145.00273700000002,2020-01-14,02:42:11,0,0,Car,"[('filter coffee', 3), ('chole', 2), ('idli', 3), ('tea', 3)]",40,120.234,4284.0,10,,4.3486
ORD344112,REST0931,CUST07168,COUR4705,-37.8030858,144.950326,2020-03-04,02:22:25,0,0,Bike,"[('butter masala dosa', 2), ('chole', 2)]",0,59.7,,16,,
ORD182110,REST0348,CUST04972,COUR2503,-37.81132279999999,144.97346940000003,2020-05-09,00:31:38,0,1,Bike,"[('paneer tikka', 3), ('paan ice cream', 3), ('makke ki roti', 2), ('kheer', 2)]",0,169.12,3172.0,16,,5.2653
ORD103030,REST0931,CUST05254,COUR0052,-37.8184127,144.9641682,2020-12-24,05:44:10,0,0,Car,"[('butter masala dosa', 1), ('chole', 2), ('masala dosa', 1)]",0,74.68,3012.0,7,,3.6294
ORD242062,REST0931,CUST10800,COUR3099,-37.8147767,144.9582332,2020-10-23,17:20:26,0,0,Motorbike,"[('filter coffee', 3), ('butter masala dosa', 3)]",45,47.306,3032.0,6,,3.4399
ORD034154,REST0348,CUST00093,COUR3450,-37.81724570000001,144.99709009999998,2020-04-22,15:57:21,0,0,Car,"[('chicken tikka', 2), ('paneer tikka', 1)]",45,23.034,5462.0,13,,3.9285
ORD051965,REST1034,CUST01262,COUR0765,-37.7996046,144.976257,2020-10-08,18:39:33,1,0,Car,"[('mango lassi', 3), ('dehati chicken', 3), ('butter chicken', 3), ('paneer lababdar', 3)]",0,146.7,4520.0,11,,5.5676
ORD118734,REST1046,CUST07459,COUR0705,-37.80704420000001,144.9630675,2020-12-17,03:37:34,0,0,Car,"[('french fries', 1), ('draught beer', 1), ('murgh ghee roast', 2)]",0,41.94,,10,,
ORD033716,REST1034,CUST11630,COUR3203,-37.8265352,144.95552080000002,2020-10-16,05:08:34,0,0,Bike,"[('dehati chicken', 3), ('chilli chicken', 1), ('palak paneer', 2)]",10,70.821,4251.0,21,,5.0036
ORD012264,REST1034,CUST01667,COUR0503,-37.8192593,145.0112358,2020-10-25,13:38:54,1,1,Car,"[('paneer lababdar', 3), ('mango lassi', 1)]",0,37.61,7466.0,18,,6.883
